-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2001 through 12/31/2017 
Location: Latitude  36.7382   Longitude -119.7776 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 358.59 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M
36.73821,-119.77759,2001,06,05,   23.02
36.73821,-119.77759,2001,06,06,   25.71
36.73821,-119.77759,2001,06,07,   28.22
36.73821,-119.77759,2001,06,08,   28.63
36.73821,-119.77759,2001,06,09,   25.06
36.73821,-119.77759,2001,06,10,   23.97
36.73821,-119.77759,2001,06,11,   22.58
36.73821,-119.77759,2001,06,12,   22.25
36.73821,-119.77759,2001,06,13,   23.40
36.73821,-119.77759,2001,06,14,   26.72
36.73821,-119.77759,2001,06,15,   28.77
36.73821,-119.77759,2001,06,16,   29.52
36.73821,-119.77759,2001,06,17,   28.45
36.73821,-119.77759,2001,06,18,   28.99
36.73821,-119.77759,2001,06,19,   30.41
36.73821,-119.77759,2001,06,20,   30.96
36.73821,-119.77759,2001,06,21,   31.92
36.73821,-119.77759,2001,06,22,   32.17
36.73821,-119.77759,2001,06,23,   29.18
36.73821,-119.77759,2001,06,24,   25.47
36.73821,-119.77759,2001,06,25,   23.29
36.73821,-119.77759,2001,06,26,   24.34
36.73821,-119.77759,2001,06,27,   25.19
36.73821,-119.77759,2001,06,28,   25.54
36.73821,-119.77759,2001,06,29,   27.23
36.73821,-119.77759,2001,06,30,   29.74
36.73821,-119.77759,2001,07,01,   30.96
36.73821,-119.77759,2001,07,02,   33.70
36.73821,-119.77759,2001,07,03,   36.61
36.73821,-119.77759,2001,07,04,   33.15
36.73821,-119.77759,2001,07,05,   33.17
36.73821,-119.77759,2001,07,06,   26.93
36.73821,-119.77759,2001,07,07,   29.24
36.73821,-119.77759,2001,07,08,   29.46
36.73821,-119.77759,2001,07,09,   28.42
36.73821,-119.77759,2001,07,10,   27.37
36.73821,-119.77759,2001,07,11,   25.64
36.73821,-119.77759,2001,07,12,   24.95
36.73821,-119.77759,2001,07,13,   26.47
36.73821,-119.77759,2001,07,14,   25.81
36.73821,-119.77759,2001,07,15,   23.54
36.73821,-119.77759,2001,07,16,   22.02
36.73821,-119.77759,2001,07,17,   23.41
36.73821,-119.77759,2001,07,18,   25.08
36.73821,-119.77759,2001,07,19,   25.22
36.73821,-119.77759,2001,07,20,   24.09
36.73821,-119.77759,2001,07,21,   23.53
36.73821,-119.77759,2001,07,22,   25.21
36.73821,-119.77759,2001,07,23,   26.05
36.73821,-119.77759,2001,07,24,   28.03
36.73821,-119.77759,2001,07,25,   28.45
36.73821,-119.77759,2001,07,26,   29.17
36.73821,-119.77759,2001,07,27,   30.82
36.73821,-119.77759,2001,07,28,   30.12
36.73821,-119.77759,2001,07,29,   27.94
36.73821,-119.77759,2001,07,30,   24.01
36.73821,-119.77759,2001,07,31,   25.03
36.73821,-119.77759,2001,08,01,   27.38
36.73821,-119.77759,2001,08,02,   28.70
36.73821,-119.77759,2001,08,03,   27.28
36.73821,-119.77759,2001,08,04,   25.55
36.73821,-119.77759,2001,08,05,   27.01
36.73821,-119.77759,2001,08,06,   29.17
36.73821,-119.77759,2001,08,07,   32.25
