,T2M,collisions
579,25.89,32
580,24.77,35
581,24.68,24
582,23.96,36
583,24.66,34
584,27.95,58
585,30.56,42
586,30.86,35
587,30.2,29
588,29.97,26
589,30.72,50
590,30.35,29
591,29.95,43
592,29.34,35
593,27.89,29
594,27.09,21
595,24.98,38
596,23.4,32
597,22.98,36
598,23.08,51
599,23.18,36
600,23.19,23
601,23.82,34
602,25.17,43
603,27.68,45
604,27.73,40
605,26.16,39
606,26.69,46
607,27.97,36
608,29.79,33
609,30.87,32
610,30.74,57
611,27.85,41
612,24.01,45
613,20.53,51
614,19.44,37
615,20.49,32
616,24.55,47
617,26.94,40
618,27.29,54
619,26.0,52
620,26.32,48
621,27.07,26
622,25.39,21
623,21.07,42
624,22.33,58
625,23.51,38
626,27.08,39
627,27.88,40
628,27.52,43
629,27.82,21
630,28.32,50
631,28.43,45
632,27.97,36
633,25.15,43
634,20.61,58
635,18.84,37
636,18.43,26
637,17.56,40
638,15.93,41
639,15.82,52
640,17.47,49
641,19.76,40
642,21.6,43
643,23.56,33
644,24.83,40
645,25.12,48
646,23.85,31
647,21.24,44
648,18.85,43
649,21.23,33
650,21.62,24
651,21.13,45
652,19.03,39
653,16.62,25
654,16.9,33
655,15.93,41
656,17.28,23
657,17.41,14
658,17.25,35
659,15.76,44
660,14.09,35
661,12.4,35
662,13.83,39
663,13.74,27
664,14.84,28
665,15.45,36
666,14.4,28
667,14.38,38
668,13.87,33
669,13.57,38
670,13.13,29
671,15.48,31
672,14.3,24
673,15.36,60
674,15.28,43
675,13.28,30
676,14.15,21
677,12.45,23
678,11.92,17
679,12.84,32
680,15.22,30
681,13.86,40
682,13.3,44
683,15.98,45
684,15.7,26
685,12.09,25
686,12.44,35
687,13.85,28
688,18.03,41
689,19.05,25
690,15.49,31
691,11.17,19
692,11.22,26
693,11.29,36
694,11.34,31
695,11.33,35
696,13.01,16
697,13.59,21
698,10.06,23
699,10.99,25
700,10.98,36
701,11.34,32
702,11.04,31
703,12.39,20
704,12.14,37
705,11.5,18
706,11.28,19
707,12.19,26
708,10.73,38
709,9.28,35
710,10.07,26
711,10.54,27
712,11.67,13
713,9.55,10
714,9.21,16
715,6.1,17
716,5.1,29
717,6.41,17
718,6.34,29
719,6.36,23
720,5.3,19
721,3.93,18
722,4.63,10
723,4.89,13
724,7.5,25
725,10.65,17
726,9.27,20
727,5.46,16
728,6.74,27
729,7.29,14
730,7.29,27
731,11.15,27
732,12.87,35
733,13.44,19
734,11.46,28
735,11.99,18
736,13.5,29
737,13.59,22
738,10.59,25
739,10.32,31
740,10.97,23
741,11.99,23
742,11.93,37
743,10.85,34
744,10.35,37
745,11.59,32
746,12.96,43
747,12.78,21
748,12.85,22
749,11.68,23
750,11.38,29
751,12.88,25
752,14.1,31
753,11.95,31
754,13.01,39
755,15.05,19
756,14.37,25
757,11.63,28
758,11.55,33
759,12.48,27
760,15.63,39
761,12.29,22
762,7.71,21
763,9.51,36
764,8.84,40
765,8.22,42
766,7.68,39
767,7.76,33
768,7.46,30
769,8.04,27
770,10.32,28
771,12.09,23
772,11.01,15
773,11.98,27
774,11.72,31
775,12.25,30
776,10.63,23
777,9.17,37
778,8.68,29
779,7.75,28
780,8.13,43
781,9.88,28
782,10.74,23
783,11.09,26
784,10.17,32
785,10.24,18
786,8.8,19
787,7.88,32
788,7.63,30
789,8.15,34
790,9.1,31
791,8.64,33
792,8.08,28
793,9.73,28
794,10.79,35
795,10.42,35
796,11.27,41
797,12.6,31
798,13.04,35
799,14.23,33
800,15.91,39
801,15.37,14
802,14.25,38
803,11.89,24
804,9.26,19
805,8.61,33
806,9.67,38
807,10.7,31
808,11.28,34
809,12.51,38
810,14.79,23
811,12.46,22
812,12.91,29
813,14.49,41
814,15.01,28
815,12.18,44
816,13.65,43
817,15.85,36
818,18.23,42
819,19.14,48
820,12.77,25
821,7.87,33
822,8.59,29
823,7.66,35
824,8.1,30
825,9.92,26
826,13.93,40
827,18.06,38
828,18.28,39
829,17.13,39
830,15.41,30
831,12.74,24
832,11.7,13
833,9.93,17
834,10.54,28
835,11.82,33
836,11.66,23
837,11.11,44
838,13.34,37
839,13.57,20
840,9.99,23
841,9.46,28
842,12.25,35
843,12.74,30
844,12.39,30
845,12.79,32
846,13.45,23
847,12.26,28
848,11.88,34
849,12.83,26
850,15.27,46
851,12.72,32
852,13.62,27
853,12.96,19
854,13.75,34
855,14.28,23
856,13.22,33
857,10.43,29
858,10.62,38
859,13.65,33
860,16.91,30
861,19.75,21
862,21.55,33
863,18.3,38
864,16.75,43
865,17.34,42
866,18.83,38
867,18.24,28
868,20.38,34
869,23.34,31
870,25.12,51
871,25.79,40
872,26.42,43
873,21.36,24
874,18.8,31
875,20.92,37
876,26.54,36
877,29.99,37
878,27.39,30
879,22.27,39
880,23.54,36
881,25.86,41
882,28.03,35
883,28.62,43
884,26.63,43
885,26.39,28
886,25.53,35
887,24.89,27
888,25.09,19
889,24.6,51
890,22.09,50
891,20.97,35
892,20.13,35
893,21.36,44
894,23.36,28
895,25.08,29
896,27.07,33
897,28.47,38
898,24.1,36
899,21.89,32
900,20.78,44
901,20.71,36
902,21.67,18
903,20.53,37
904,22.58,40
905,28.01,57
906,30.78,43
907,32.18,39
908,31.32,37
909,28.2,33
910,26.66,49
911,26.58,47
912,28.27,49
913,28.81,41
914,28.84,46
915,28.37,31
916,25.8,28
917,25.14,36
918,26.79,38
919,28.89,41
920,30.21,33
921,29.82,59
922,30.35,33
923,29.38,34
924,30.33,30
925,31.39,38
926,31.62,48
927,34.36,38
928,33.32,46
929,31.05,37
930,33.61,26
931,33.41,41
932,34.39,56
933,33.73,45
934,32.96,41
935,31.75,43
936,32.02,32
937,32.76,22
938,33.33,33
939,33.37,29
940,29.09,40
941,28.92,35
942,25.84,40
943,27.25,35
944,27.19,26
945,26.11,44
946,24.91,38
947,25.09,43
948,25.19,36
949,25.87,31
950,27.77,33
951,28.09,21
952,27.43,46
953,27.41,40
954,27.67,38
955,28.56,44
956,27.36,43
957,28.94,35
958,29.07,25
959,29.34,33
960,29.12,33
961,29.5,29
962,27.6,31
963,25.09,39
964,26.37,43
965,29.06,38
966,30.72,45
967,31.12,48
968,29.5,36
